,total,Taxonomy
Zotu1,486737,Bacteria(100.00000000000001);Firmicutes(100.00000000000001);Bacilli(100.00000000000001);Staphylococcales(100.00000000000001);Staphylococcaceae(100.00000000000001);Staphylococcus(100.00000000000001);uncultured bacterium(60.00000000000001)
Zotu10,297617,Bacteria(99.99999999999997);Actinobacteriota(99.99999999999997);Actinobacteria(99.99999999999997);Corynebacteriales(99.99999999999997);Corynebacteriaceae(99.99999999999997);Corynebacterium(99.99999999999997);uncultured bacterium(82.50746620451542)
Zotu100,8289,Unclassified
Zotu1000,224,Bacteria(99.99999999999999);Patescibacteria(99.99999999999999);Saccharimonadia(99.99999999999999);Saccharimonadales(99.99999999999999);Saccharimonadaceae(99.99999999999999);uncultured bacterium(94.23333333333332);unidentified(99.99999999999999)
Zotu1001,237,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);uncultured bacterium(82.83333333333333)
Zotu1002,261,Bacteria(99.99999999999999);Deinococcota(99.99999999999999);Deinococci(99.99999999999999);Deinococcales(99.99999999999999);Deinococcaceae(99.99999999999999);Deinococcus(99.99999999999999);Deinococcus geothermalis DSM 11300(67.22857142857143)
Zotu1005,265,Bacteria(100.00000000000003);Fusobacteriota(100.00000000000003);Fusobacteriia(100.00000000000003);Fusobacteriales(100.00000000000003);Leptotrichiaceae(100.00000000000003);Leptotrichia(100.00000000000003);uncultured bacterium(98.95069930069933)
Zotu1006,251,Bacteria(100.0);Firmicutes(100.0);Clostridia(100.0);Peptostreptococcales-Tissierellales(100.0);Peptostreptococcaceae(100.0);Peptostreptococcus(100.0);uncultured bacterium(38.6452380952381)
Zotu101,11997,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);Neisseria(100.0);uncultured bacterium(84.9076632349303)
Zotu1010,275,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Enterobacterales(100.00000000000001);Enterobacteriaceae(100.00000000000001);Klebsiella(100.00000000000001);Klebsiella pneumoniae(74.00000000000001)
Zotu1011,193,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);Prevotella aurantiaca(92.5)
